HomeTeam,AwayTeam,Penalties,Date,Time,Year,Home Team Goals,Away Team Goals,Total Goals Scored
France,Mexico,[],13 July 1930,15:00,1930,4,1,5
Uruguay,Argentina,[],30 July 1930,12:45,1930,4,2,6
Uruguay,Yugoslavia,[],27 July 1930,14:45,1930,6,1,7
Argentina,United States,[],26 July 1930,14:45,1930,6,1,7
Paraguay,Belgium,[],20 July 1930,15:00,1930,1,0,1
United States,Paraguay,[],17 July 1930,14:45,1930,3,0,3
Uruguay,Romania,[],21 July 1930,14:50,1930,4,0,4
Uruguay,Peru,[],18 July 1930,14:30,1930,1,0,1
Romania,Peru,[],14 July 1930,14:50,1930,3,1,4
United States,Belgium,[],13 July 1930,15:00,1930,3,0,3
Yugoslavia,Bolivia,[],17 July 1930,12:45,1930,4,0,4
Yugoslavia,Brazil,[],14 July 1930,12:45,1930,2,1,3
Argentina,Chile,[],22 July 1930,14:45,1930,3,1,4
Argentina,Mexico,[],19 July 1930,15:00,1930,6,3,9
Chile,France,[],19 July 1930,12:50,1930,1,0,1
Chile,Mexico,[],16 July 1930,14:45,1930,3,0,3
Argentina,France,[],15 July 1930,16:00,1930,1,0,1
Brazil,Bolivia,[],20 July 1930,13:00,1930,4,0,4
Italy,Spain,[],31 May 1934,16:30,1934,1,1,2
Italy,Czechoslovakia,[],10 June 1934,15:30,1934,2,1,3
Germany,Austria,[],7 June 1934,18:00,1934,3,2,5
Italy,Austria,[],3 June 1934,16:30,1934,1,0,1
Italy,Spain,[],1 June 1934,16:30,1934,1,0,1
Czechoslovakia,Switzerland,[],31 May 1934,16:30,1934,3,2,5
Germany,Sweden,[],31 May 1934,16:30,1934,2,1,3
Austria,Hungary,[],31 May 1934,16:30,1934,2,1,3
Czechoslovakia,Germany,[],3 June 1934,16:30,1934,3,1,4
Austria,France,[],27 May 1934,16:00,1934,3,2,5
Sweden,Argentina,[],27 May 1934,16:00,1934,3,2,5
Czechoslovakia,Romania,[],27 May 1934,16:00,1934,2,1,3
Italy,United States,[],27 May 1934,16:00,1934,7,1,8
Switzerland,Netherlands,[],27 May 1934,16:00,1934,3,2,5
Hungary,Egypt,[],27 May 1934,16:00,1934,4,2,6
Spain,Brazil,[],27 May 1934,16:00,1934,3,1,4
Germany,Belgium,[],27 May 1934,16:00,1934,5,2,7
Sweden,Cuba,[],12 June 1938,17:00,1938,8,0,8
Italy,France,[],12 June 1938,17:00,1938,3,1,4
Brazil,Czechoslovakia,[],12 June 1938,17:00,1938,1,1,2
Brazil,Sweden,[],19 June 1938,17:00,1938,4,2,6
Hungary,Sweden,[],16 June 1938,18:00,1938,5,1,6
Italy,Brazil,[],16 June 1938,18:00,1938,2,1,3
Italy,Hungary,[],19 June 1938,15:00,1938,4,2,6
Brazil,Czechoslovakia,[],14 June 1938,18:00,1938,2,1,3
Cuba,Romania,[],9 June 1938,18:00,1938,2,1,3
Hungary,Switzerland,[],12 June 1938,17:00,1938,2,0,2
Czechoslovakia,Netherlands,[],5 June 1938,18:30,1938,3,0,3
Brazil,Poland,[],5 June 1938,17:30,1938,6,5,11
Italy,Norway,[],5 June 1938,17:00,1938,2,1,3
France,Belgium,[],5 June 1938,17:00,1938,3,1,4
Cuba,Romania,[],5 June 1938,17:00,1938,3,3,6
Hungary,Dutch East Indies,[],5 June 1938,17:00,1938,6,0,6
Switzerland,Germany,[],4 June 1938,17:00,1938,1,1,2
Switzerland,Germany,[],9 June 1938,18:00,1938,4,2,6
Sweden,Paraguay,[],29 June 1950,15:30,1950,2,2,4
Italy,Paraguay,[],2 July 1950,15:00,1950,2,0,2
Uruguay,Bolivia,[],2 July 1950,15:00,1950,8,0,8
Uruguay,Spain,[],9 July 1950,15:00,1950,2,2,4
Uruguay,Brazil,[],16 July 1950,15:00,1950,2,1,3
Brazil,Spain,[],13 July 1950,15:00,1950,6,1,7
Uruguay,Sweden,[],13 July 1950,15:00,1950,3,2,5
Sweden,Spain,[],16 July 1950,15:00,1950,3,1,4
Sweden,Italy,[],25 June 1950,15:00,1950,3,2,5
Brazil,Sweden,[],9 July 1950,15:00,1950,7,1,8
Chile,United States,[],2 July 1950,15:00,1950,5,2,7
Switzerland,Mexico,[],2 July 1950,15:40,1950,2,1,3
United States,England,[],29 June 1950,15:00,1950,1,0,1
Spain,Chile,[],29 June 1950,15:00,1950,2,0,2
Spain,United States,[],25 June 1950,15:00,1950,3,1,4
England,Chile,[],25 June 1950,15:00,1950,2,0,2
Brazil,Yugoslavia,[],1 July 1950,15:00,1950,2,0,2
Yugoslavia,Mexico,[],28 June 1950,15:00,1950,4,1,5
Brazil,Switzerland,[],28 June 1950,15:00,1950,2,2,4
Yugoslavia,Switzerland,[],25 June 1950,15:00,1950,3,0,3
Brazil,Mexico,[],24 June 1950,15:00,1950,4,0,4
Spain,England,[],2 July 1950,15:00,1950,1,0,1
Italy,Belgium,[],20 June 1954,17:00,1954,4,1,5
Switzerland,Italy,[],23 June 1954,18:00,1954,4,1,5
Austria,Switzerland,[],26 June 1954,17:00,1954,7,5,12
Uruguay,England,[],26 June 1954,17:00,1954,4,2,6
Austria,Uruguay,[],3 July 1954,17:00,1954,3,1,4
Hungary,Brazil,[],27 June 1954,17:00,1954,4,2,6
West Germany,Austria,[],30 June 1954,18:00,1954,6,1,7
Hungary,Uruguay,[],30 June 1954,18:00,1954,4,2,6
England,Belgium,[],17 June 1954,18:10,1954,4,4,8
West Germany,Hungary,[],4 July 1954,17:00,1954,3,2,5
West Germany,Yugoslavia,[],27 June 1954,17:00,1954,2,0,2
Switzerland,Italy,[],17 June 1954,17:50,1954,2,1,3
England,Switzerland,[],20 June 1954,17:10,1954,2,0,2
Uruguay,Scotland,[],19 June 1954,16:50,1954,7,0,7
Austria,Czechoslovakia,[],19 June 1954,17:00,1954,5,0,5
Brazil,Mexico,[],16 June 1954,18:00,1954,5,0,5
Yugoslavia,France,[],16 June 1954,18:00,1954,1,0,1
France,Mexico,[],19 June 1954,17:10,1954,3,2,5
West Germany,Turkey,[],17 June 1954,18:00,1954,4,1,5
Brazil,Yugoslavia,[],19 June 1954,17:00,1954,1,1,2
Hungary,West Germany,[],20 June 1954,16:50,1954,8,3,11
Turkey,South Korea,[],20 June 1954,17:00,1954,7,0,7
West Germany,Turkey,[],23 June 1954,18:00,1954,7,2,9
Uruguay,Czechoslovakia,[],16 June 1954,18:00,1954,2,0,2
Austria,Scotland,[],16 June 1954,18:00,1954,1,0,1
Hungary,South Korea,[],17 June 1954,18:00,1954,9,0,9
Brazil,Soviet Union,[],15 June 1958,19:00,1958,2,0,2
Brazil,Austria,[],8 June 1958,19:00,1958,3,0,3
Soviet Union,England,[],8 June 1958,19:00,1958,2,2,4
Brazil,England,[],11 June 1958,19:00,1958,0,0,0
Soviet Union,Austria,[],11 June 1958,19:00,1958,2,0,2
England,Austria,[],15 June 1958,19:00,1958,2,2,4
Soviet Union,England,[],17 June 1958,19:00,1958,1,0,1
France,West Germany,[],28 June 1958,17:00,1958,6,3,9
France,Northern Ireland,[],19 June 1958,19:00,1958,4,0,4
Sweden,Soviet Union,[],19 June 1958,19:00,1958,2,0,2
West Germany,Yugoslavia,[],19 June 1958,19:00,1958,1,0,1
Brazil,France,[],24 June 1958,19:00,1958,5,2,7
Sweden,West Germany,[],24 June 1958,19:00,1958,3,1,4
Brazil,Sweden,[],29 June 1958,15:00,1958,5,2,7
Wales,Hungary,[],17 June 1958,19:00,1958,2,1,3
Brazil,Wales,[],19 June 1958,19:00,1958,1,0,1
Hungary,Mexico,[],15 June 1958,19:00,1958,4,0,4
Czechoslovakia,Argentina,[],15 June 1958,19:00,1958,6,1,7
Sweden,Hungary,[],12 June 1958,19:00,1958,2,1,3
Sweden,Wales,[],15 June 1958,14:00,1958,0,0,0
Argentina,West Germany,[],8 June 1958,19:00,1958,1,3,4
West Germany,Czechoslovakia,[],11 June 1958,19:00,1958,2,2,4
Argentina,Northern Ireland,[],11 June 1958,19:00,1958,3,1,4
West Germany,Northern Ireland,[],15 June 1958,19:00,1958,2,2,4
Northern Ireland,Czechoslovakia,[],17 June 1958,19:00,1958,2,1,3
France,Paraguay,[],8 June 1958,19:00,1958,7,3,10
Northern Ireland,Czechoslovakia,[],8 June 1958,19:00,1958,1,0,1
Yugoslavia,France,[],11 June 1958,19:00,1958,3,2,5
Paraguay,Scotland,[],11 June 1958,19:00,1958,3,2,5
France,Scotland,[],15 June 1958,19:00,1958,2,1,3
Paraguay,Yugoslavia,[],15 June 1958,19:00,1958,3,3,6
Sweden,Mexico,[],8 June 1958,14:00,1958,3,0,3
Hungary,Wales,[],8 June 1958,19:00,1958,1,1,2
Mexico,Wales,[],11 June 1958,19:00,1958,1,1,2
Yugoslavia,Scotland,[],8 June 1958,19:00,1958,1,1,2
Argentina,Bulgaria,[],30 May 1962,15:00,1962,1,0,1
Hungary,England,[],31 May 1962,15:00,1962,2,1,3
England,Argentina,[],2 June 1962,15:00,1962,3,1,4
Hungary,Bulgaria,[],3 June 1962,15:00,1962,6,1,7
Hungary,Argentina,[],6 June 1962,15:00,1962,0,0,0
England,Bulgaria,[],7 June 1962,15:00,1962,0,0,0
Yugoslavia,West Germany,[],10 June 1962,14:30,1962,1,0,1
Czechoslovakia,Hungary,[],10 June 1962,14:30,1962,1,0,1
Brazil,England,[],10 June 1962,14:30,1962,3,1,4
Czechoslovakia,Yugoslavia,[],13 June 1962,14:30,1962,3,1,4
Brazil,Chile,[],13 June 1962,14:30,1962,4,2,6
Mexico,Czechoslovakia,[],7 June 1962,15:00,1962,3,1,4
