HomeTeam,Score,AwayTeam,Penalties,Date,Time,Year
France ,4–1, Mexico,[],13 July 1930,15:00,1930
Argentina ,1–0, France,[],15 July 1930,16:00,1930
Chile ,3–0, Mexico,[],16 July 1930,14:45,1930
Chile ,1–0, France,[],19 July 1930,12:50,1930
Argentina ,6–3, Mexico,[],19 July 1930,15:00,1930
Argentina ,3–1, Chile,[],22 July 1930,14:45,1930
Yugoslavia ,2–1, Brazil,[],14 July 1930,12:45,1930
Yugoslavia ,4–0, Bolivia,[],17 July 1930,12:45,1930
Brazil ,4–0, Bolivia,[],20 July 1930,13:00,1930
Romania ,3–1, Peru,[],14 July 1930,14:50,1930
Uruguay ,1–0, Peru,[],18 July 1930,14:30,1930
Uruguay ,4–0, Romania,[],21 July 1930,14:50,1930
United States ,3–0, Belgium,[],13 July 1930,15:00,1930
United States ,3–0, Paraguay,[],17 July 1930,14:45,1930
Paraguay ,1–0, Belgium,[],20 July 1930,15:00,1930
Argentina ,6–1, United States,[],26 July 1930,14:45,1930
Uruguay ,6–1, Yugoslavia,[],27 July 1930,14:45,1930
Uruguay ,4–2, Argentina,[],30 July 1930,12:45,1930
Spain ,3–1, Brazil,[],27 May 1934,16:00,1934
Hungary ,4–2, Egypt,[],27 May 1934,16:00,1934
Switzerland ,3–2, Netherlands,[],27 May 1934,16:00,1934
Italy ,7–1, United States,[],27 May 1934,16:00,1934
Czechoslovakia ,2–1, Romania,[],27 May 1934,16:00,1934
Sweden ,3–2, Argentina,[],27 May 1934,16:00,1934
Austria ,3–2 (a.e.t.), France,[],27 May 1934,16:00,1934
Germany ,5–2, Belgium,[],27 May 1934,16:00,1934
Austria ,2–1, Hungary,[],31 May 1934,16:30,1934
Italy ,1–1 (a.e.t.), Spain,[],31 May 1934,16:30,1934
Germany ,2–1, Sweden,[],31 May 1934,16:30,1934
Czechoslovakia ,3–2,  Switzerland,[],31 May 1934,16:30,1934
Italy ,1–0, Spain,[],1 June 1934,16:30,1934
Italy ,1–0, Austria,[],3 June 1934,16:30,1934
Czechoslovakia ,3–1, Germany,[],3 June 1934,16:30,1934
Germany ,3–2, Austria,[],7 June 1934,18:00,1934
Italy ,2–1 (a.e.t.), Czechoslovakia,[],10 June 1934,15:30,1934
Switzerland ,1–1 (a.e.t.), Germany,[],4 June 1938,17:00,1938
Hungary ,6–0, Dutch East Indies,[],5 June 1938,17:00,1938
Sweden ,w/o[a], Austria,[], , ,1938
Cuba ,3–3 (a.e.t.), Romania,[],5 June 1938,17:00,1938
